CustomerID,Recency,Frequency,Monetary,RFM_Level
12347,129,3,55.16,Champions
12348,75,2,250,Can't Loose Them
12352,72,6,498.8,Can't Loose Them
12353,204,1,19.9,Needs Attention
12354,232,1,20.8,Needs Attention
12355,214,1,30,Needs Attention
12356,245,1,26.4,Needs Attention
12358,150,1,15,Needs Attention
12359,189,1,20.8,Needs Attention
12360,112,2,31,Loyal
12362,72,4,59.55,Can't Loose Them
12363,109,2,85.26,Champions
12364,78,2,60,Can't Loose Them
12370,274,1,60.48,Promising
12372,71,2,66.72,Can't Loose Them
12375,98,1,33.2,Potential
12378,129,1,12.6,Needs Attention
12379,81,2,92.7,Can't Loose Them
12380,78,2,37.3,Can't Loose Them
12381,119,1,19.9,Promising
12383,184,3,52.24,Loyal
12384,121,1,25,Promising
12388,75,3,95.88,Can't Loose Them
12390,79,1,19.8,Loyal
12393,72,2,36,Can't Loose Them
12394,217,1,23.4,Needs Attention
12395,112,5,91.8,Can't Loose Them
12397,135,1,14.85,Needs Attention
12399,119,4,136.2,Can't Loose Them
12405,148,1,12.48,Needs Attention
12406,183,1,35.4,Needs Attention
12407,134,4,173.24,Can't Loose Them
12408,98,4,76.9,Can't Loose Them
12409,78,3,146.55,Can't Loose Them
12412,74,3,44.76,Can't Loose Them
12413,236,1,16.5,Require Activation
12414,217,2,118.8,Loyal
12415,99,12,3999.7,Can't Loose Them
12417,106,5,76.1,Can't Loose Them
12418,112,1,10.08,Promising
12421,114,2,47.7,Champions
12422,95,2,34.2,Loyal
12423,100,5,50.03,Can't Loose Them
12424,162,2,229.14,Champions
12425,78,1,8.5,Potential
12426,194,1,17.7,Needs Attention
12428,120,8,760.12,Can't Loose Them
12429,172,2,26.58,Potential
12431,119,6,203.94,Can't Loose Them
12432,170,3,810.4,Can't Loose Them
12433,91,1,10.08,Promising
12434,84,2,32.7,Champions
12435,79,2,464.4,Can't Loose Them
12436,99,1,12.6,Promising
12437,78,8,304.4,Can't Loose Them
12438,140,1,19.8,Promising
12444,85,3,143.55,Can't Loose Them
12447,243,1,19.5,Needs Attention
12449,91,3,87.5,Can't Loose Them
12450,156,2,76.2,Loyal
12451,218,1,15,Require Activation
12453,134,1,19.8,Promising
12455,73,4,79.52,Can't Loose Them
12456,131,2,30.9,Potential
12457,81,6,617.65,Can't Loose Them
12458,71,1,30,Loyal
12461,94,2,213.52,Can't Loose Them
12463,175,3,58.86,Champions
12464,106,4,122.6,Can't Loose Them
12465,169,1,13.2,Needs Attention
12468,187,1,13.2,Require Activation
12471,78,14,856.68,Can't Loose Them
12472,138,3,45.3,Champions
12473,114,2,28.2,Loyal
12474,98,9,153.45,Can't Loose Them
12476,84,4,176,Can't Loose Them
12477,100,2,35.7,Loyal
12480,143,2,30,Potential
12481,179,5,115.92,Can't Loose Them
12483,98,5,191.26,Can't Loose Them
12484,100,3,160.4,Can't Loose Them
12488,75,1,17.7,Loyal
12490,93,5,152.3,Can't Loose Them
12492,105,1,13.5,Promising
12493,165,2,41.46,Loyal
12494,161,2,30.38,Potential
12497,81,1,177.6,Can't Loose Them
12500,106,4,349.74,Can't Loose Them
12502,95,4,282.9,Can't Loose Them
12506,232,1,7.95,Require Activation
12507,134,2,72.25,Loyal
12510,142,1,162.72,Loyal
12513,112,1,8.5,Promising
12514,267,1,35.7,Needs Attention
12516,77,2,145.28,Can't Loose Them
12517,73,3,51.21,Can't Loose Them
12518,77,2,25.68,Champions
12520,79,5,60.34,Can't Loose Them
12521,142,1,15.3,Needs Attention
12523,79,6,117.15,Can't Loose Them
12524,162,4,93.47,Can't Loose Them
12526,94,1,20.8,Potential
12527,81,1,34,Loyal
12528,114,3,63.6,Can't Loose Them
12530,123,2,36.7,Loyal
12534,130,1,16.5,Needs Attention
12535,91,2,61.55,Champions
12539,262,1,17.7,Needs Attention
12540,77,10,345.7,Can't Loose Them
12541,173,2,27.7,Potential
12545,75,2,34.9,Champions
12546,77,1,17.4,Loyal
12547,197,2,50.4,Potential
12548,166,1,17.4,Promising
12550,79,1,20.8,Loyal
12553,110,5,115.05,Can't Loose Them
12556,151,1,12.5,Needs Attention
12557,158,2,271.58,Champions
12560,112,2,158.5,Can't Loose Them
12562,81,4,130.06,Can't Loose Them
12564,261,1,23.4,Needs Attention
12566,86,1,15,Promising
12567,96,6,108.94,Can't Loose Them
12569,92,15,296.53,Can't Loose Them
12571,121,1,10.2,Needs Attention
12573,227,1,8.4,Require Activation
12576,95,3,52.38,Can't Loose Them
12579,78,1,15.9,Potential
12580,246,1,19.8,Needs Attention
12582,238,1,10.2,Require Activation
12583,70,8,251.42,Can't Loose Them
12584,80,5,80,Can't Loose Them
12585,234,1,54.08,Promising
12589,144,1,10,Needs Attention
12590,211,2,760.6,Loyal
12592,92,2,42,Champions
12593,108,3,52.8,Can't Loose Them
12594,121,6,210.66,Can't Loose Them
12596,242,1,10.5,Require Activation
12597,183,2,96.5,Potential
12598,71,4,102.92,Can't Loose Them
12599,126,4,145.8,Can't Loose Them
12600,84,6,178.8,Can't Loose Them
12601,189,3,125.4,Champions
12604,79,2,45.3,Can't Loose Them
12609,78,2,29.16,Champions
12610,106,2,30,Loyal
12612,74,1,62.55,Champions
12613,197,4,104.73,Can't Loose Them
12614,277,1,9.95,Require Activation
12615,71,2,48.2,Can't Loose Them
12616,95,1,10,Promising
12619,77,7,821.77,Can't Loose Them
12620,80,2,38.1,Can't Loose Them
12621,81,13,467.9,Can't Loose Them
12622,232,1,20.8,Needs Attention
12623,276,1,15.6,Require Activation
12624,106,2,25.5,Loyal
12625,211,1,60,Promising
12626,112,4,87.02,Can't Loose Them
12627,96,5,157.05,Can't Loose Them
12633,129,2,25.48,Potential
12635,89,2,27.36,Loyal
12637,91,6,157.82,Can't Loose Them
12639,238,1,15,Require Activation
12640,81,1,15.3,Potential
12641,115,1,14.85,Promising
12642,107,1,30,Potential
12643,128,5,201.36,Can't Loose Them
12644,129,1,17.4,Promising
12645,109,2,87.3,Champions
12647,78,7,252.53,Can't Loose Them
12648,154,1,10.2,Needs Attention
12649,107,3,104.1,Can't Loose Them
12653,148,1,30,Promising
12654,197,2,23.5,Promising
12656,72,4,170.6,Can't Loose Them
12657,78,1,19.9,Loyal
12662,107,5,91.7,Can't Loose Them
